site,block,field_number,graze_type,graze_num,visit,milkweeds_ha,eggs_plus_larvae_ha,NIO1_other0,com_show_ha,grass_percent
BRO,1,1,Ungrazed,1,1,11.66666667,0,0,5,0
BRO,1,1,Ungrazed,1,2,4452.380952,0,0,0,12
BRO,1,1,Ungrazed,1,3,3529.91453,0,0,0,20
BRO,1,2,Bison,2,1,13.33333333,0,0,5,32
BRO,1,2,Bison,2,2,2021.929825,0,0,0,28
BRO,1,2,Bison,2,3,1702.786378,0,0,0,60
BRO,1,3,Cattle,3,1,28.33333333,3.333333333,0,21.66666667,12
BRO,1,3,Cattle,3,2,1583.636364,0,0,11.66666667,80
BRO,1,3,Cattle,3,3,320.1515152,0,0,7.5,48
DUN,2,4,Ungrazed,1,1,21.66666667,6.666666667,0,21.66666667,0
DUN,2,4,Ungrazed,1,2,81.30081301,0,0,2.7100271,4
DUN,2,4,Ungrazed,1,3,45,6.666666667,0,25,0
DUN,2,5,Bison,2,1,119.4843716,1.99123855,0,14.30704898,60
DUN,2,5,Bison,2,2,11.66666667,0,0,8.333333333,52
DUN,2,5,Bison,2,3,36.66666667,1.666666667,0,5,56
DUN,2,6,Cattle,3,1,0,0,0,0,88
DUN,2,6,Cattle,3,2,0,0,0,0,56
DUN,2,6,Cattle,3,3,1.666666667,0,0,0,20
KON,3,7,Ungrazed,1,1,1013.414941,33.78049802,0,0,0
KON,3,7,Ungrazed,1,2,35,0,0,0,0
KON,3,7,Ungrazed,1,3,2947.947948,0,0,0,16
KON,3,8,Bison,2,1,1194.239825,11.69590643,0,0,32
KON,3,8,Bison,2,2,162.3655914,0,0,0,8
KON,3,8,Bison,2,3,990.5456987,0,0,0,32
KON,3,9,Cattle,3,1,330.2702703,0,0,0,20
KON,3,9,Cattle,3,2,10,0,0,0,20
KON,3,9,Cattle,3,3,28.33333333,1.666666667,0,0,32
PLA,4,10,Ungrazed,1,1,324.0245658,13.9595065,0,324.0245658,0
PLA,4,10,Ungrazed,1,2,455.7581613,17.27810651,0,455.7581613,0
PLA,4,10,Ungrazed,1,3,715.7139553,3.787878788,0,715.7139553,12
PLA,4,11,Bison,2,1,10,0,0,8.333333333,4
PLA,4,11,Bison,2,2,1390.496894,0,0,1.666666667,48
PLA,4,11,Bison,2,3,328.9869281,0,0,0,64
PLA,4,12,Cattle,3,1,8.333333333,0,0,8.333333333,80
PLA,4,12,Cattle,3,2,6.666666667,0,0,5,64
PLA,4,12,Cattle,3,3,443.1632653,0,0,0,92
TAL,5,13,Ungrazed,1,1,1215.453729,0,0,0,8
TAL,5,13,Ungrazed,1,2,101.6666667,0,0,0,12
TAL,5,13,Ungrazed,1,3,585.9028497,0,0,0,4
TAL,5,14,Bison,2,1,525.2380952,0,0,0,32
TAL,5,14,Bison,2,2,36.66666667,0,0,0,20
TAL,5,14,Bison,2,3,572.8213166,0,0,30.3030303,32
TAL,5,15,Cattle,3,1,316.7109225,0,0,0,64
TAL,5,15,Cattle,3,2,33.33333333,0,0,0,68
TAL,5,15,Cattle,3,3,3.333333333,0,0,0,64
NIO,6,16,Ungrazed,1,1,60,16.66666667,1,0,0
NIO,6,16,Ungrazed,1,2,201.6992551,3.472222222,1,0,28
NIO,6,16,Ungrazed,1,3,130.9259259,1.666666667,1,0,8
NIO,6,17,Bison,2,1,93.89671362,6.259780908,1,0,36
NIO,6,17,Bison,2,2,123.0938124,7.984031936,1,0,44
NIO,6,17,Bison,2,3,79.18604651,0,1,0,16
NIO,6,18,Cattle,3,1,811.5729155,45.55785249,1,0,16
NIO,6,18,Cattle,3,2,2577.380952,135.9126984,1,0,20
NIO,6,18,Cattle,3,3,1025.888526,39.98778999,1,0,24
